"","Rho","N","P","P0","Rsq","Sure Screening Probability (Air-HOLP)","Sure Screening Probability (Ridge-HOLP)","Sure Screening Probability (SIS)","r"
"1",0,125,250,3,0.25,0.702,0.556,0.754,102.608488304894
"2",0.3,125,250,3,0.25,0.662,0.534,0.718,100.835524758049
"3",0.6,125,250,3,0.25,0.568,0.436,0.63,96.4072239793234
"4",0.9,125,250,3,0.25,0.368,0.294,0.474,87.9267073230735
"5",0,250,250,3,0.25,0.956,0.75,0.972,96.7501743300586
"6",0.3,250,250,3,0.25,0.932,0.778,0.954,94.4964609565247
"7",0.6,250,250,3,0.25,0.896,0.682,0.856,86.0968075911292
"8",0.9,250,250,3,0.25,0.666,0.654,0.73,79.0785281978552
"9",0,500,250,3,0.25,0.994,0.986,1,69.6187274212272
"10",0.3,500,250,3,0.25,0.98,0.97,0.982,69.7559627998865
"11",0.6,500,250,3,0.25,0.982,0.978,0.98,60.8163583047681
"12",0.9,500,250,3,0.25,0.892,0.894,0.96,32.4425150438081
"13",0,1000,250,3,0.25,1,1,1,19.9352183828464
"14",0.3,1000,250,3,0.25,1,1,0.998,22.5382784529579
"15",0.6,1000,250,3,0.25,0.998,0.998,0.986,18.6012701918559
"16",0.9,1000,250,3,0.25,0.984,0.984,0.986,6.20059653351295
"17",0,125,1250,3,0.25,0.48,0.466,0.472,499.967798612253
"18",0.3,125,1250,3,0.25,0.4,0.38,0.432,480.641088892781
"19",0.6,125,1250,3,0.25,0.298,0.274,0.336,460.591801732982
"20",0.9,125,1250,3,0.25,0.254,0.238,0.274,429.69949388471
"21",0,250,1250,3,0.25,0.878,0.854,0.882,566.207300085611
"22",0.3,250,1250,3,0.25,0.812,0.772,0.808,561.61206825827
"23",0.6,250,1250,3,0.25,0.686,0.68,0.688,534.026131272086
"24",0.9,250,1250,3,0.25,0.444,0.434,0.536,497.88952761825
"25",0,500,1250,3,0.25,0.962,0.916,0.97,630.20039210968
"26",0.3,500,1250,3,0.25,0.974,0.936,0.96,607.471614341927
"27",0.6,500,1250,3,0.25,0.912,0.872,0.794,582.313392536734
"28",0.9,500,1250,3,0.25,0.504,0.502,0.614,556.210499302732
