"","Rho","N","P","P0","Rsq","Sure.Screening.Probability..Air.HOLP.","Sure.Screening.Probability..Ridge.HOLP.","Sure.Screening.Probability..SIS.","r"
"1",0,125,250,3,0.25,0.712,0.53,0.766,106.14971273484
"2",0.3,125,250,3,0.25,0.554,0.398,0.336,82.1140265236203
"3",0.6,125,250,3,0.25,0.396,0.306,0.094,48.0815853583466
"4",0.9,125,250,3,0.25,0.126,0.13,0.008,12.4712011094212
"5",0,250,250,3,0.25,0.962,0.758,0.982,98.4975639101475
"6",0.3,250,250,3,0.25,0.87,0.614,0.574,75.9895165688168
"7",0.6,250,250,3,0.25,0.718,0.574,0.222,45.7096645385859
"8",0.9,250,250,3,0.25,0.378,0.366,0.026,12.259747527056
"9",0,500,250,3,0.25,0.996,0.992,1,73.2321241219225
"10",0.3,500,250,3,0.25,0.986,0.976,0.63,55.9161087507393
"11",0.6,500,250,3,0.25,0.916,0.882,0.326,34.1929316187966
"12",0.9,500,250,3,0.25,0.616,0.616,0.176,9.59950646102484
"13",0,1000,250,3,0.25,1,1,1,20.9164653771927
"14",0.3,1000,250,3,0.25,1,1,0.682,17.4273123533379
"15",0.6,1000,250,3,0.25,0.998,0.998,0.378,10.881886769134
"16",0.9,1000,250,3,0.25,0.872,0.878,0.26,3.24615383741363
"17",0,125,1250,3,0.25,0.414,0.37,0.446,505.076578503205
"18",0.3,125,1250,3,0.25,0.288,0.272,0.138,380.027820401973
"19",0.6,125,1250,3,0.25,0.21,0.204,0.02,222.367781523311
"20",0.9,125,1250,3,0.25,0.056,0.048,0,57.2945568122572
"21",0,250,1250,3,0.25,0.886,0.842,0.884,585.300698059655
"22",0.3,250,1250,3,0.25,0.768,0.704,0.352,442.300624952052
"23",0.6,250,1250,3,0.25,0.556,0.502,0.072,262.706746441804
"24",0.9,250,1250,3,0.25,0.226,0.196,0.006,69.4528820059776
"25",0,500,1250,3,0.25,0.984,0.95,0.99,652.272255543968
"26",0.3,500,1250,3,0.25,0.952,0.886,0.55,493.679633618693
"27",0.6,500,1250,3,0.25,0.822,0.738,0.234,297.915127245957
"28",0.9,500,1250,3,0.25,0.436,0.368,0.026,81.0639314263893
